,expo,expo_est
10,1.45,1.083866415804327
19,0.7,0.7034482758620686
28,0.55,1.2645429362880896
40,1.55,1.4977748691099488
43,1.9,1.575
52,1.5,1.5626923076923076
53,0.5,0.47403433476394835
55,0.6,0.975
62,0.55,0.925
63,0.3,0.40112359550561794
64,1.75,1.2887096774193547
68,0.15,0.324820143884892
73,0.45,1.0187499999999998
75,0.25,0.2056497175141241
77,0.1,0.5078947368421053
79,1.4,1.0833333333333333
80,0.45,0.6489795918367347
81,0.95,0.7616666666666665
82,0.75,1.1281954887218042
91,0.45,0.5375
93,1.9,1.4110738255033555
95,0.5,0.7616666666666665
97,0.9,0.6315789473684209
99,0.8,0.782456140350877
100,1.25,1.2645429362880896
101,0.6,0.8089698046181175
104,1.4,1.7052083333333332
105,0.2,0.18571428571428572
106,0.1,0.47403433476394835
107,1.1,1.6122448979591837
108,1.45,1.6705882352941175
110,0.8,0.8447619047619049
116,0.15,0.5184397163120572
120,0.5,0.3722222222222223
123,0.65,0.5161538461538464
128,0.1,1.4110738255033555
131,1.9,1.1281954887218042
135,0.25,0.324820143884892
136,0.75,1.7856687898089174
139,0.15,0.35000000000000003
141,1.2,1.0187499999999998
160,1.45,1.75
163,1.4,1.2762162162162165
165,1.95,1.910606060606061
171,1.85,1.5538910505836565
178,1.8,1.8499999999999999
184,0.2,0.956081081081081
193,1.9,1.6705882352941175
197,0.85,0.956081081081081
203,0.35,0.8089698046181175
211,1.7,1.6296153846153847
213,0.95,1.2634078212290503
215,1.65,1.3533333333333333
228,0.25,0.30606060606060603
232,0.4,0.35500000000000004
239,1.25,1.2
243,0.8,0.7034482758620686
248,1.55,1.4977748691099488
259,1.7,1.3652631578947365
264,1.4,1.4559880239520961
266,1.3,1.4142857142857141
279,1.05,1.7249999999999999
288,1.4,0.6568862275449104
293,0.25,0.389090909090909
301,1.95,1.7124999999999997
303,0.5,0.5149122807017545
307,0.25,0.18333333333333335
330,1.95,1.55
336,0.2,0.3722222222222223
337,1.95,1.9176470588235295
344,0.9,0.5149122807017545
353,1.0,0.8089698046181175
358,1.3,1.2539240506329108
359,1.55,1.6972222222222222
362,0.95,0.984645669291339
363,0.25,0.39444444444444443
365,1.95,1.8540540540540555
367,1.2,1.7
370,0.85,0.5569565217391306
372,0.85,1.03877887788779
375,1.7,1.4559880239520961
383,0.5,0.25
386,1.65,1.2887096774193547
389,0.2,0.8089698046181175
391,1.2,1.0187499999999998
400,1.05,0.984645669291339
404,0.55,1.083866415804327
419,1.7,1.0169172932330832
423,1.15,1.2645429362880896
425,1.95,1.8800000000000001
432,0.8,0.8089698046181175
433,1.05,1.1281954887218042
442,0.8,0.7616666666666665
447,1.0,1.0169172932330832
458,1.2,1.0187499999999998
468,1.8,1.2
469,0.6,1.083866415804327
471,0.35,1.0187499999999998
490,0.25,0.27555555555555555
492,0.75,0.5184397163120572
501,1.45,1.083866415804327
504,0.6,0.8089698046181175
511,0.8,1.2887096774193547
512,1.8,1.0357142857142858
513,1.7,1.2634078212290503
515,1.15,1.06875
