,expo,expo_est
10,1.45,0.8862198270259553
19,0.7,0.9626361880089195
28,0.55,1.050911296121691
40,1.55,1.3273163153709338
43,1.9,1.6179095009842828
52,1.5,1.2189898646364794
53,0.5,0.942766332825776
55,0.6,0.37348097599353336
62,0.55,0.7729171471105176
63,0.3,0.7467759448691944
64,1.75,1.1482329778826352
68,0.15,0.7729256541259368
73,0.45,1.025904026990695
75,0.25,-0.2840169121302434
77,0.1,0.8283923302546123
79,1.4,1.349164252257876
80,0.45,0.8682892237072155
81,0.95,1.0226311118760978
82,0.75,1.010550843158817
91,0.45,0.6911200166518253
93,1.9,1.2144511265005897
95,0.5,0.7570214234590231
97,0.9,1.0064118089922365
99,0.8,1.0308336842037662
100,1.25,1.1519857519740364
101,0.6,0.8801059256053402
104,1.4,1.4760705579102917
105,0.2,0.9464834490938218
106,0.1,-0.08607176891655
107,1.1,1.1134658645204052
108,1.45,1.0926015912615372
110,0.8,0.9422499288854439
116,0.15,0.5094605952036362
120,0.5,0.6161499495878914
123,0.65,0.7043656341559774
128,0.1,1.1452876221718007
131,1.9,1.0713042368548598
135,0.25,-0.8560352105594737
136,0.75,2.029202557002489
139,0.15,0.29930190280345736
141,1.2,1.0439310662490615
160,1.45,1.4127403336027375
163,1.4,1.3414772565318607
165,1.95,2.082257538365819
171,1.85,1.4668716877927896
178,1.8,1.3832767487495432
184,0.2,1.0188199265859266
193,1.9,1.3175719918361728
197,0.85,1.0292607133258058
203,0.35,0.9728230410185703
211,1.7,1.3736535585900604
213,0.95,1.0920418035608677
215,1.65,1.2100032874256317
228,0.25,0.1807168171880993
232,0.4,0.2889370407997942
239,1.25,1.3709350328422718
243,0.8,0.8150701538782124
248,1.55,1.119566439117843
259,1.7,1.1749276191369695
264,1.4,1.2646955640421877
266,1.3,1.298379093948829
279,1.05,1.2058622981017137
288,1.4,1.0456837379936856
293,0.25,0.7793612622554309
301,1.95,1.7958936814143658
303,0.5,0.8502781943957584
307,0.25,-0.36137014193023775
330,1.95,1.997928457946451
336,0.2,0.6742964200299961
337,1.95,2.083350741618885
344,0.9,0.929794793843096
353,1.0,0.9876771070652278
358,1.3,1.118132894672208
359,1.55,1.6188469078177652
362,0.95,0.9437078391230845
363,0.25,0.6032911443508642
365,1.95,2.228102925079509
367,1.2,1.0491389823787205
370,0.85,0.8628785016798104
372,0.85,1.0642852896071562
375,1.7,1.2845146938978702
383,0.5,0.42891967715019197
386,1.65,1.1620972197956487
389,0.2,0.9005419729670369
391,1.2,1.0173077996703406
400,1.05,1.0586635598643475
404,0.55,1.0459870765028096
419,1.7,0.842186432804807
423,1.15,1.1581986105391522
425,1.95,1.426719519993623
432,0.8,0.8399266755049872
433,1.05,1.061636938816628
442,0.8,0.8748812785194197
447,1.0,0.8776399911120809
458,1.2,0.8642619791938257
468,1.8,1.343710976487945
